right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
85.3,73.1,79.1,91.2,90.1,82.9,126.9,0
92.94,72.6,76.75,90.25,87.06,100.5,130.6,0
79.6,68.06,71.1,87.44,97.9,113.3,142.8,0
82.44,71.0,80.06,81.9,86.94,116.8,141.0,0
101.0,89.44,80.25,78.7,79.9,124.9,138.1,0
90.5,78.1,71.3,97.25,93.0,90.06,134.2,0
76.9,63.84,68.7,96.1,93.75,88.44,127.8,0
78.5,62.97,73.2,97.75,92.9,91.3,129.8,0
88.8,72.7,88.4,90.7,84.0,105.7,135.1,0
87.75,74.8,75.44,89.56,85.44,121.25,143.9,0
56.2,62.12,60.56,106.2,111.8,138.2,53.03,0
62.72,53.88,75.06,101.2,93.2,137.5,58.78,0
57.62,53.72,56.12,96.4,92.44,131.1,55.8,0
